Customer Review,Date Of Stay,Customer Rating,Owner Responded
excellent highly recommended spent nights left wanting return time staying property consider par seasons mandarin room appointed staff excellent went way stay enjoyable breakfast excellent variety delicious special thanks vinayak team lasting impression mr rathore management fine,11/22,Excellent,False
favourite whilst visited recently refurbished extremely high standard staff act complete professionalism stay brief managed eat chefs tasting menu brilliant second visit upgraded free charge celebrating engagement room huge bouquet flowers cake petal filled bath ordered room service restaurant quality fault amazing example hospitality,08/22,Excellent,True
stayed 2 nights new upgraded presidential suite treated like royalty opulent service spot spectacular chance eat breakfast food delicious provided broad spectrum choices highly recommend oberois based experience new rathambore jaipur agra unique simply fabulous,11/22,Excellent,False
best quality service food notch quality spread breakfast good bestest south indian breakfast service heart feel compliments management ensuring,12/22,Excellent,True
service food location cleanliness excellent best hotels spa pool gym restaurants amazing t waste time comparing hotels stay regret decision,12/22,Excellent,True
new beautiful property tranquil setting makes hard believe middle big city dining options wonderful fantastic service property room spacious comfortable amazing view,11/22,Excellent,True
absolutely perfect place stay want awesome suite room 501 wrap views 2 bathrooms kitchen ate 2x baoshaun floor u need break indian food bit eat baoshaun upperclassmen chinese impeccable service excellent place eat service notch,12/22,Excellent,True
warmth staff 360 reception housekeeping heartwarming makes feel like home urmila ingtipi particularly caring smiling eager stay comfortable joy meet view room 8th floor spectacular course food delicious staff restaurants kitchen account allergies snd preferences crafting delicious meals wonderful stay,11/22,Excellent,True
stayed 3 times november 2022 comfort service unserpassed staff attentive pleasant deal resturants provided wonderful food beds comfortable slept party arrived ill doctor immediately available treatment excellent health returned day future stay,11/22,Excellent,True
favorite world genuinely great service amenitites food exceptional gem new beautifully maintained sparklingly enviroment difficult air quality filtration systems difference area outdoor air quality challenging gym spa salon absolutly worth visit appointed exceptional levels service laundry butler service exceptional 360 resturant excellent job pleasing wide array tastes needs genuinely cosmopolitan dining room personally enjoy great deal ill come im new,11/22,Excellent,True
recently renovated new favorite region superbly located great size room comfortable bed space pack walk wardrobe spacious shower bathroom area beautiful views humayun tomb golf course 360 restaurant fantastic wide variety menu options,11/22,Excellent,True
add outstanding reviews new exceeded expectations pleasure spending 4 nights recent trip new 3 nights jaipur 2 nights agra 1 night ranthambhore 2 nights luxury tent wildest dreams travelled worldwide 5 hotels rate hotels 7 worth penny spoilt equal grandeur future vacations thank,11/22,Excellent,True
exceptional property facilities fantastic particularly enjoyed indoor outdoor pools great gym rooms spacious super appointed gorgeous bath perfect service excellent overall sense calm despite location right heart,11/22,Excellent,True
stayed night 6 stay superb pool gym room food omya special request minor check issue welcome drinks shakes daugthers lovely welcome departure overall perfect night warm beautiful beats hospitality good work team,11/22,Excellent,True
agra superb travel extensively stay good quality hotels beautiful sumptuous comfortable list best hotels world,10/22,Excellent,True
outstanding service time arrive entrance time depart exit hospitality unparalleled highly recommend wanting unwind relax spa fantastic hair salon silhouette best salon imagine provides outstanding facial treatments entire staff silhouette extremely professional attentive,11/22,Excellent,True
wife experienced level personal service new door desk restaurants housekeeping truly concerned personally comfortable getting wanted hovering interested special guests room comfortable fantastic view huge fullwall window looking luxuriously green golf club directly adjacent 360 baoshuan restaurants excellent,10/22,Excellent,True
new excellent loved staying family extended family 2 weeks sure felt home day housekeeping laundry food beverage department excellent desk bell desk concierge services welcoming sure stay smooth comfortable thank team enjoyed trip thanks group hotels,11/22,Excellent,True
want leave review especially service provided manisha day day visit kind open children especially night returning home helped thermometer grateful lucky,11/22,Excellent,True
amazing luxurious weve stayed service second food amazing choice plentiful staff looking help notch,11/22,Excellent,True
needless beautiful clean great food stands staff ive seen staff committed making stay pleasant big shout akshat help stay nice person concierge team super helpful helping transportation reservations suggesting places wedding clothes shopping,11/22,Excellent,True
amazing time staff incredibly friendly took care helped buy clothes wedding attending reserve restaurants food breakfast delicious highly recommend stay,11/22,Excellent,True
stayed night lucky meet sanjay drives mercedes thanks able new old day great fun visiting historical monuments sanjays car office wheels wifi air purifier sanitizer masks water chargers absolutely fantastic service ask,11/22,Excellent,True
convenient comfortable staff kind helpful restaurant exceptional wonderful time dining recommend guest choose stay,11/22,Excellent,True
stayed stay experience justified 4 star review calculation follows staff 7 stars 360 restaurant minus 1 star quality size gym minus 1 star quality property remodel minus 1 star best thing staff lose 3 stars lack response asking refund deposit january 2023 booking change plans sitting 2900 deposit wont refund despite requests lack response unimaginable careful plan stay,11/22,Terrible,False
service amazing nakshatr food beverage service absolutely amazing organised thing moment meeting rooms karan ritika muskan bc centre helpful want thank business centre team efforts day regards ananya eversource,11/22,Excellent,True
visited second time onenight stopover collecting airport dropping stay luxurious calm chaotic stressful job recently recovering covid needed rest care check smooth quick greatly appreciated quick room access long journey spa therapist food server excellent breakfast divine fresh watermelon juice local dishes sweet treat thank knew exactly care solo woman guest best hotels stayed,11/22,Excellent,True
enjoyed stay excellent location beautiful indoor outdoor pools rate customer service special thanks vinayak nayak helped greatly travel plans suggest indian specialties breakfast buffet love north indian options great indian cultural activities indian music dance,10/22,Excellent,True
great stay perfect nice food breakfast lunch diner especially chinese restaurant nice staff great pool welness service outstanding best taj mahal old special thanks ajay office staff helpful friendly,11/22,Excellent,True
arrived late night greeted entire team airport gave family warmest appreciated welcome stayed night breakfast rooms services impeccable staff lived legendary service expectation,11/22,Excellent,True
woow stayed new night staff friendly consistently good highlights breakfast fantastic menu lots varieties special thanks imran housekeeping great service keeping room spotless clean dity norden arpita shubham housekeeping worm welcoming wishes means lot forgot mr vinayak office giving great room decoration thank rajeev arranging overall comfortable stay highly recommended new stay,11/22,Excellent,True
fantastic luxury looked good location restaurant offered great choice foods bedrooms beautiful selection toiletries disappointed staying chose trip golden triangle,10/22,Excellent,True
new cleverly designed business traveller tourist services hand feature missed floor bar chinese restaurant popular particularly weekends close humayuns tomb exquisite mogul site missed forerunner taj mahal,11/22,Excellent,True
best ive stayed absolutely amazing staff single member staff knew needed knew remembered preferences example samanth checked day arranged coffee husband day husband requested coffee remembered preferences light milk asked unusual requests took stride able happen quickly kindness beautiful spotless joy stay lovely place come sightseeing evening helping feel refreshed calmed,11/22,Excellent,True
said basically choose holiday destinations based service class apart praises entire staff breakfast check check entire 4 day stay names remember aratrik great help check check sanga helped room spick n span provided great turn service manager time duty remember aargh check sweet double upgrade came know travelling daughter premier plus room bigger comfortable lovely view golf course,11/22,Excellent,True
stay mistake spend evenings ensconced club bar cigar lounge absolutely stunning attentiveness skill staff ambiance lounge quality drinks fantastic normally travel spend evening lounge enjoyed space cancelled engagement enjoy space easily cigar lounges visited globe,10/22,Excellent,True
honeymoon husbands birthday greeted warm friendly welcome room beautiful wonderful view staff exceptional food great loved breakfast great staff attentive shame didnt stay longer thank making honeymoon special,11/22,Excellent,True
exceptional wed stayed went stay oberois indian tour new standout best 5 hotels stayed awful looking building especially ill pass dont tend spend time gazing outside knockout factor staff dud clearly brilliant trained stay enjoyable room paid upgrade suite room 512 comfortable entrance area separate wc sitting room separate bedroom bathroom bathroom glazed bedroom fine wanting privacy blind bath,10/22,Excellent,True
went superb celebrate wedding anniversary usual glad decision hospitality unbeatable entire staff goes way feel special warm welcome zaid sparsh reception entering beautifully decorated room having great experience cirrus 9 stay special memorable thank entire team,11/22,Excellent,True
